"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"1","19/04/2020",19,4,2020,63,0,"Afghanistan","AF","AFG",37172386
"2","18/04/2020",18,4,2020,51,1,"Afghanistan","AF","AFG",37172386
"3","17/04/2020",17,4,2020,10,4,"Afghanistan","AF","AFG",37172386
"4","16/04/2020",16,4,2020,70,2,"Afghanistan","AF","AFG",37172386
"5","15/04/2020",15,4,2020,49,2,"Afghanistan","AF","AFG",37172386
"6","14/04/2020",14,4,2020,58,3,"Afghanistan","AF","AFG",37172386
"7","13/04/2020",13,4,2020,52,0,"Afghanistan","AF","AFG",37172386
"8","12/04/2020",12,4,2020,34,3,"Afghanistan","AF","AFG",37172386
"9","11/04/2020",11,4,2020,37,0,"Afghanistan","AF","AFG",37172386
"10","10/04/2020",10,4,2020,61,1,"Afghanistan","AF","AFG",37172386
"11","09/04/2020",9,4,2020,56,3,"Afghanistan","AF","AFG",37172386
"12","08/04/2020",8,4,2020,30,4,"Afghanistan","AF","AFG",37172386
"13","07/04/2020",7,4,2020,38,0,"Afghanistan","AF","AFG",37172386
"14","06/04/2020",6,4,2020,29,2,"Afghanistan","AF","AFG",37172386
"15","05/04/2020",5,4,2020,35,1,"Afghanistan","AF","AFG",37172386
"16","04/04/2020",4,4,2020,0,0,"Afghanistan","AF","AFG",37172386
"17","03/04/2020",3,4,2020,43,0,"Afghanistan","AF","AFG",37172386
"18","02/04/2020",2,4,2020,26,0,"Afghanistan","AF","AFG",37172386
"19","01/04/2020",1,4,2020,25,0,"Afghanistan","AF","AFG",37172386
"20","31/03/2020",31,3,2020,27,0,"Afghanistan","AF","AFG",37172386
"21","30/03/2020",30,3,2020,8,1,"Afghanistan","AF","AFG",37172386
"22","29/03/2020",29,3,2020,15,1,"Afghanistan","AF","AFG",37172386
"23","28/03/2020",28,3,2020,16,1,"Afghanistan","AF","AFG",37172386
"24","27/03/2020",27,3,2020,0,0,"Afghanistan","AF","AFG",37172386
"25","26/03/2020",26,3,2020,33,0,"Afghanistan","AF","AFG",37172386
"26","25/03/2020",25,3,2020,2,0,"Afghanistan","AF","AFG",37172386
"27","24/03/2020",24,3,2020,6,1,"Afghanistan","AF","AFG",37172386
"28","23/03/2020",23,3,2020,10,0,"Afghanistan","AF","AFG",37172386
"29","22/03/2020",22,3,2020,0,0,"Afghanistan","AF","AFG",37172386
"30","21/03/2020",21,3,2020,2,0,"Afghanistan","AF","AFG",37172386
"31","20/03/2020",20,3,2020,0,0,"Afghanistan","AF","AFG",37172386
"32","19/03/2020",19,3,2020,0,0,"Afghanistan","AF","AFG",37172386
"33","18/03/2020",18,3,2020,1,0,"Afghanistan","AF","AFG",37172386
"34","17/03/2020",17,3,2020,5,0,"Afghanistan","AF","AFG",37172386
"35","16/03/2020",16,3,2020,6,0,"Afghanistan","AF","AFG",37172386
"36","15/03/2020",15,3,2020,3,0,"Afghanistan","AF","AFG",37172386
"37","11/03/2020",11,3,2020,3,0,"Afghanistan","AF","AFG",37172386
"38","08/03/2020",8,3,2020,3,0,"Afghanistan","AF","AFG",37172386
"39","02/03/2020",2,3,2020,0,0,"Afghanistan","AF","AFG",37172386
"40","01/03/2020",1,3,2020,0,0,"Afghanistan","AF","AFG",37172386
"41","29/02/2020",29,2,2020,0,0,"Afghanistan","AF","AFG",37172386
"42","28/02/2020",28,2,2020,0,0,"Afghanistan","AF","AFG",37172386
"43","27/02/2020",27,2,2020,0,0,"Afghanistan","AF","AFG",37172386
"44","26/02/2020",26,2,2020,0,0,"Afghanistan","AF","AFG",37172386
"45","25/02/2020",25,2,2020,1,0,"Afghanistan","AF","AFG",37172386
"46","24/02/2020",24,2,2020,0,0,"Afghanistan","AF","AFG",37172386
"47","23/02/2020",23,2,2020,0,0,"Afghanistan","AF","AFG",37172386
"48","22/02/2020",22,2,2020,0,0,"Afghanistan","AF","AFG",37172386
"49","21/02/2020",21,2,2020,0,0,"Afghanistan","AF","AFG",37172386
"50","20/02/2020",20,2,2020,0,0,"Afghanistan","AF","AFG",37172386
"51","19/02/2020",19,2,2020,0,0,"Afghanistan","AF","AFG",37172386
"52","18/02/2020",18,2,2020,0,0,"Afghanistan","AF","AFG",37172386
"53","17/02/2020",17,2,2020,0,0,"Afghanistan","AF","AFG",37172386
"54","16/02/2020",16,2,2020,0,0,"Afghanistan","AF","AFG",37172386
"55","15/02/2020",15,2,2020,0,0,"Afghanistan","AF","AFG",37172386
"56","14/02/2020",14,2,2020,0,0,"Afghanistan","AF","AFG",37172386
"57","13/02/2020",13,2,2020,0,0,"Afghanistan","AF","AFG",37172386
"58","12/02/2020",12,2,2020,0,0,"Afghanistan","AF","AFG",37172386
"59","11/02/2020",11,2,2020,0,0,"Afghanistan","AF","AFG",37172386
"60","10/02/2020",10,2,2020,0,0,"Afghanistan","AF","AFG",37172386
"61","09/02/2020",9,2,2020,0,0,"Afghanistan","AF","AFG",37172386
"62","08/02/2020",8,2,2020,0,0,"Afghanistan","AF","AFG",37172386
"63","07/02/2020",7,2,2020,0,0,"Afghanistan","AF","AFG",37172386
"64","06/02/2020",6,2,2020,0,0,"Afghanistan","AF","AFG",37172386
"65","05/02/2020",5,2,2020,0,0,"Afghanistan","AF","AFG",37172386
"66","04/02/2020",4,2,2020,0,0,"Afghanistan","AF","AFG",37172386
"67","03/02/2020",3,2,2020,0,0,"Afghanistan","AF","AFG",37172386
"68","02/02/2020",2,2,2020,0,0,"Afghanistan","AF","AFG",37172386
"69","01/02/2020",1,2,2020,0,0,"Afghanistan","AF","AFG",37172386
"70","31/01/2020",31,1,2020,0,0,"Afghanistan","AF","AFG",37172386
"71","30/01/2020",30,1,2020,0,0,"Afghanistan","AF","AFG",37172386
"72","29/01/2020",29,1,2020,0,0,"Afghanistan","AF","AFG",37172386
"73","28/01/2020",28,1,2020,0,0,"Afghanistan","AF","AFG",37172386
"74","27/01/2020",27,1,2020,0,0,"Afghanistan","AF","AFG",37172386
"75","26/01/2020",26,1,2020,0,0,"Afghanistan","AF","AFG",37172386
"76","25/01/2020",25,1,2020,0,0,"Afghanistan","AF","AFG",37172386
"77","24/01/2020",24,1,2020,0,0,"Afghanistan","AF","AFG",37172386
"78","23/01/2020",23,1,2020,0,0,"Afghanistan","AF","AFG",37172386
"79","22/01/2020",22,1,2020,0,0,"Afghanistan","AF","AFG",37172386
"80","21/01/2020",21,1,2020,0,0,"Afghanistan","AF","AFG",37172386
"81","20/01/2020",20,1,2020,0,0,"Afghanistan","AF","AFG",37172386
"82","19/01/2020",19,1,2020,0,0,"Afghanistan","AF","AFG",37172386
"83","18/01/2020",18,1,2020,0,0,"Afghanistan","AF","AFG",37172386
"84","17/01/2020",17,1,2020,0,0,"Afghanistan","AF","AFG",37172386
"85","16/01/2020",16,1,2020,0,0,"Afghanistan","AF","AFG",37172386
"86","15/01/2020",15,1,2020,0,0,"Afghanistan","AF","AFG",37172386
"87","14/01/2020",14,1,2020,0,0,"Afghanistan","AF","AFG",37172386
"88","13/01/2020",13,1,2020,0,0,"Afghanistan","AF","AFG",37172386
"89","12/01/2020",12,1,2020,0,0,"Afghanistan","AF","AFG",37172386
"90","11/01/2020",11,1,2020,0,0,"Afghanistan","AF","AFG",37172386
"91","10/01/2020",10,1,2020,0,0,"Afghanistan","AF","AFG",37172386
"92","09/01/2020",9,1,2020,0,0,"Afghanistan","AF","AFG",37172386
"93","08/01/2020",8,1,2020,0,0,"Afghanistan","AF","AFG",37172386
"94","07/01/2020",7,1,2020,0,0,"Afghanistan","AF","AFG",37172386
"95","06/01/2020",6,1,2020,0,0,"Afghanistan","AF","AFG",37172386
"96","05/01/2020",5,1,2020,0,0,"Afghanistan","AF","AFG",37172386
"97","04/01/2020",4,1,2020,0,0,"Afghanistan","AF","AFG",37172386
"98","03/01/2020",3,1,2020,0,0,"Afghanistan","AF","AFG",37172386
"99","02/01/2020",2,1,2020,0,0,"Afghanistan","AF","AFG",37172386
"100","01/01/2020",1,1,2020,0,0,"Afghanistan","AF","AFG",37172386
